Symbol,Idol Invested On,Idol Close Price on Invest,Idol Exit On,Idol Close Price on Exit,Idol Investment,Idol No of Shares,Idol Returns,Actual Invested On,Actual Close Price on Invest,Actual Exit On,Actual Close Price on Exit,Actual Investment,Actual No of Shares,Actual Returns,Actual Total Investment,Unsold Shares,Remained Amount
SPGI,2021-09-07,446.7200012207031,2022-06-02,341.2200012207031,99618.5602722168,223,-23526.5,['2022-06-02'],[341.2200012207031],[],[],[99977.46035766602],[293],0.0,99977.46035766602,293,99977.46035766602
COST,2021-09-03,462.5499877929688,2022-06-02,485.10540771484375,99910.79736328126,216,4871.970703124985,[],[],[],[],[],[],0.0,0.0,0,0
AVGO,2021-09-07,496.5899963378906,2022-06-02,572.0700073242188,99814.58926391602,201,15171.482208251953,['2022-01-25'],[534.1400146484375],[],[],[99884.18273925781],[187],0.0,99884.18273925781,187,99884.18273925781
JPM,2021-09-02,160.4600067138672,2022-06-02,131.16000366210938,99966.58418273926,623,-18253.901901245117,"['2022-01-18', '2022-01-19', '2022-01-20', '2022-01-21', '2022-01-24', '2022-01-27', '2022-01-28', '2022-02-02', '2022-02-03', '2022-02-04', '2022-02-07', '2022-02-14', '2022-02-17', '2022-02-18', '2022-02-23', '2022-02-24', '2022-02-25', '2022-02-28', '2022-03-01', '2022-03-02', '2022-03-03', '2022-03-04', '2022-03-07', '2022-03-08', '2022-03-09', '2022-03-10', '2022-03-14', '2022-03-15', '2022-03-16', '2022-03-17', '2022-03-18', '2022-03-21', '2022-03-22', '2022-03-23', '2022-03-24', '2022-03-28', '2022-03-29', '2022-03-30', '2022-03-31', '2022-04-01', '2022-04-04', '2022-04-05', '2022-04-06', '2022-04-07', '2022-04-08', '2022-04-11', '2022-04-13', '2022-04-14', '2022-04-18', '2022-04-19', '2022-04-20', '2022-04-21', '2022-04-22', '2022-04-25', '2022-04-26', '2022-04-29', '2022-05-02', '2022-05-12', '2022-05-13', '2022-05-16', '2022-05-18', '2022-05-19', '2022-05-20', '2022-05-24']","[151.27000427246094, 148.92999267578125, 147.66000366210938, 145.0800018310547, 144.9499969482422, 145.30999755859375, 146.61000061035156, 149.94000244140625, 148.6999969482422, 152.55999755859375, 153.07000732421875, 152.49000549316406, 151.42999267578125, 152.13999938964844, 148.69000244140625, 144.5500030517578, 147.97000122070312, 141.8000030517578, 136.4499969482422, 139.27999877929688, 138.2899932861328, 134.39999389648438, 129.2100067138672, 128.3000030517578, 133.44000244140625, 131.86000061035156, 130.1699981689453, 132.47999572753906, 138.39999389648438, 140.14999389648438, 140.10000610351562, 139.64999389648438, 142.6199951171875, 139.77999877929688, 140.69000244140625, 140.8699951171875, 141.17999267578125, 140.5399932861328, 136.32000732421875, 135.30999755859375, 135.91000366210938, 133.33999633789062, 131.49000549316406, 131.08999633789062, 133.49000549316406, 133.0, 127.3000030517578, 126.12000274658205, 128.4600067138672, 131.1199951171875, 131.5800018310547, 130.55999755859375, 126.80999755859376, 126.7699966430664, 123.0199966430664, 119.36000061035156, 120.4499969482422, 118.04000091552734, 119.08999633789062, 118.26000213623048, 120.08999633789062, 118.41999816894533, 117.33999633789062, 126.36000061035156]",['2022-06-02'],[131.16000366210938],"[99989.47282409668, 99932.02508544922, 99965.82247924805, 99960.12126159668, 99870.54789733887, 99973.2783203125, 99988.02041625977, 99860.04162597656, 99926.39794921875, 99926.7984008789, 99954.71478271484, 99880.95359802246, 99943.79516601562, 99955.97959899902, 99919.681640625, 99884.05210876465, 99879.75082397461, 99969.00215148926, 99881.39776611328, 99863.75912475586, 99983.66514587402, 99993.59545898438, 99879.33518981934, 99945.70237731934, 99946.56182861328, 99949.88046264648, 99970.55859375, 99889.91677856445, 99924.79559326172, 99926.94564819336, 99891.30435180664, 99989.39562988281, 99976.61657714844, 99942.69912719727, 99889.90173339844, 99876.82653808594, 99955.43481445312, 99923.93522644043, 99922.56536865234, 99994.08819580078, 99893.85269165039, 99871.65725708008, 99932.40417480469, 99890.57720947266, 99984.01411437988, 99883.0, 99930.50239562987, 99887.04217529298, 99941.88522338867, 99913.43627929688, 99869.22138977051, 99878.39813232422, 99926.27807617189, 99894.75735473633, 99892.23727416992, 99904.32051086426, 99973.49746704103, 99979.88077545166, 99916.50692749023, 99929.70180511476, 99914.876953125, 99946.47845458986, 99973.67687988281, 99950.76048278809]","[661, 671, 677, 689, 689, 688, 682, 666, 672, 655, 653, 655, 660, 657, 672, 691, 675, 705, 732, 717, 723, 744, 773, 779, 749, 758, 768, 754, 722, 713, 713, 716, 701, 715, 710, 709, 708, 711, 733, 739, 735, 749, 760, 762, 749, 751, 785, 792, 778, 762, 759, 765, 788, 788, 812, 837, 830, 847, 839, 845, 832, 844, 852, 791]",-197150.00860595703,6395378.30166626,[],[]
AXP,2021-09-07,159.72000122070312,2022-06-02,167.94000244140625,99984.72076416016,626,5145.720764160156,[],[],[],[],[],[],0.0,0.0,0,0
V,2021-09-07,226.2700042724609,2022-06-02,213.8249969482422,99785.07188415526,441,-5488.248229980454,"['2021-11-19', '2021-11-22', '2021-11-23', '2021-11-26', '2021-11-29', '2021-11-30', '2021-12-01', '2021-12-02', '2021-12-03', '2021-12-06', '2021-12-13', '2022-01-25', '2022-03-04', '2022-03-07', '2022-03-08', '2022-03-10', '2022-03-11', '2022-04-26', '2022-05-09', '2022-05-10', '2022-05-11', '2022-05-12', '2022-05-13', '2022-05-16', '2022-05-18', '2022-05-19', '2022-05-20', '2022-05-24']","[200.8600006103516, 195.5800018310547, 198.4900054931641, 197.6499938964844, 196.2899932861328, 193.7700042724609, 190.1600036621093, 198.2899932861328, 196.32000732421875, 202.67999267578125, 211.0200042724609, 202.0, 200.2899932861328, 190.6999969482422, 191.7100067138672, 197.97000122070312, 196.7100067138672, 201.1000061035156, 193.0, 193.5800018310547, 196.72000122070312, 193.97000122070312, 199.22999572753903, 197.8099975585937, 199.9900054931641, 197.67999267578125, 199.02999877929688, 202.6300048828125]",[],[],"[99827.42030334474, 99941.38093566895, 99840.47276306154, 99813.24691772462, 99911.6065826416, 99985.32220458983, 99834.00192260738, 99938.15661621094, 99926.88372802734, 99921.23638916016, 99812.46202087401, 99990.0, 99944.70664978027, 99926.7984008789, 99880.9134979248, 99974.85061645508, 99928.68341064453, 99946.70303344725, 99974.0, 99887.28094482422, 99933.76062011719, 99894.55062866211, 99814.22785949706, 99894.04876708981, 99995.00274658205, 99828.39630126953, 99913.05938720703, 99896.59240722656]","[497, 511, 503, 505, 509, 516, 525, 504, 509, 493, 473, 495, 499, 524, 521, 505, 508, 497, 518, 516, 508, 515, 501, 505, 500, 505, 502, 493]",0.0,2797375.7656555176,14157,2797375.7656555176
ABBV,2021-09-07,109.02999877929688,2022-06-02,146.48500061035156,99980.50888061523,917,34346.23667907715,[],[],[],[],[],[],0.0,0.0,0,0
BAC,2021-09-07,41.31999969482422,2022-06-02,36.505001068115234,99994.39926147461,2420,-11652.296676635742,[],[],[],[],[],[],0.0,0.0,0,0
SONY,2021-09-02,105.41999816894533,2022-06-02,93.55999755859376,99938.15826416017,948,-11243.280578613281,[],[],[],[],[],[],0.0,0.0,0,0
WFC,2021-09-03,44.16999816894531,2022-06-02,45.084999084472656,99956.70585632324,2263,2070.647071838379,[],[],[],[],[],[],0.0,0.0,0,0
AMGN,2021-09-07,221.33999633789065,2022-06-02,247.97999572753903,99824.33834838869,451,12014.639724731416,"['2021-10-13', '2021-10-18', '2021-10-27', '2021-11-30']","[203.6100006103516, 203.1300048828125, 206.5800018310547, 198.8800048828125]","['2022-03-07', '2022-03-16', '2022-03-17', '2022-03-24', '2022-03-25', '2022-03-28', '2022-03-29', '2022-03-30', '2022-04-01', '2022-04-04', '2022-04-26', '2022-04-27', '2022-04-28', '2022-04-29', '2022-05-04', '2022-05-05', '2022-05-06', '2022-05-09', '2022-05-10', '2022-05-11', '2022-05-12', '2022-05-13', '2022-05-16', '2022-05-17', '2022-05-18', '2022-05-19', '2022-05-20', '2022-05-23', '2022-05-24', '2022-05-25', '2022-05-26']","[234.3600006103516, 231.6699981689453, 235.8600006103516, 236.8699951171875, 238.7899932861328, 240.47000122070312, 241.5399932861328, 242.57000732421875, 243.1199951171875, 244.8699951171875, 249.8699951171875, 248.7899932861328, 238.1300048828125, 233.19000244140625, 236.1000061035156, 234.3500061035156, 236.5, 239.2400054931641, 240.7100067138672, 240.63999938964844, 244.72000122070312, 243.3999938964844, 243.8699951171875, 245.3500061035156, 243.9600067138672, 244.1649932861328, 247.5, 249.0399932861328, 251.88999938964844, 253.009994506836, 253.0500030517578]","[99972.51029968263, 99939.96240234375, 99984.72088623047, 99837.76245117188]","[491, 492, 484, 502]",98520.49996948242,399734.9560394287,[],[]
AMD,2021-09-07,109.1500015258789,2022-06-02,108.09500122070312,99981.40139770508,916,-966.3802795410156,[],[],[],[],[],[],0.0,0.0,0,0
CVX,2021-09-07,97.05999755859376,2022-06-02,175.67999267578125,99971.79748535158,1030,80978.59497070311,[],[],[],[],[],[],0.0,0.0,0,0
GS,2021-09-07,410.3200073242188,2022-06-02,322.05499267578125,99707.76177978517,243,-21448.398559570327,[],[],[],[],[],[],0.0,0.0,0,0
C,2021-09-10,69.56999969482422,2022-06-02,52.13999938964844,99972.0895614624,1437,-25046.910438537598,[],[],[],[],[],[],0.0,0.0,0,0
NVDA,2021-09-07,226.6199951171875,2022-06-02,194.3099975585937,99939.41784667969,441,-14248.708923339873,"['2022-01-26', '2022-03-22', '2022-04-12', '2022-04-13', '2022-04-20', '2022-05-16']","[227.72000122070312, 265.239990234375, 215.0399932861328, 222.02999877929688, 214.82000732421875, 172.63999938964844]",[],[],"[99969.08053588867, 99995.47631835938, 99993.59687805176, 99913.4994506836, 99891.30340576172, 99958.55964660645]","[439, 377, 465, 450, 465, 579]",0.0,599721.5162353516,2775,599721.5162353516
AMAT,2021-09-07,136.49000549316406,2022-06-02,116.2699966430664,99910.6840209961,732,-14801.046478271484,[],[],[],[],[],[],0.0,0.0,0,0
GOOG,2021-09-07,2910.3798828125,2022-06-02,2346.884033203125,98952.916015625,34,-19158.85888671875,[],[],[],[],[],[],0.0,0.0,0,0
VZ,2021-09-03,55.43000030517578,2022-06-02,51.20500183105469,99995.72055053711,1804,-7621.897247314453,"['2022-04-29', '2022-05-02']","[46.29999923706055, 46.22999954223633]",[],[],"[99961.69835281372, 99995.48900985718]","[2159, 2163]",0.0,199957.1873626709,4322,199957.1873626709
ADBE,2021-09-07,661.3900146484375,2022-06-02,438.5849914550781,99869.89221191406,151,-33643.558502197266,"['2022-01-05', '2022-01-06', '2022-01-07', '2022-01-25', '2022-02-10', '2022-02-14', '2022-02-18', '2022-02-22', '2022-02-23', '2022-02-25', '2022-03-08', '2022-03-09', '2022-03-11', '2022-03-14', '2022-03-15', '2022-03-23', '2022-05-09', '2022-06-02']","[514.4299926757812, 514.1199951171875, 510.7000122070313, 502.7200012207031, 495.0199890136719, 474.010009765625, 442.55999755859375, 438.3999938964844, 429.4500122070313, 465.5400085449219, 431.5299987792969, 450.8699951171875, 416.3800048828125, 411.5, 421.6600036621094, 422.8999938964844, 376.9100036621094, 438.5849914550781]",[],[],"[99799.41857910156, 99739.27905273438, 99586.50238037111, 99538.56024169922, 99994.03778076172, 99542.10205078125, 99575.9994506836, 99955.19860839844, 99632.40283203126, 99625.56182861328, 99683.42971801758, 99642.26892089844, 99931.201171875, 99994.5, 99933.42086791992, 99804.39855957031, 99881.15097045898, 99997.37805175781]","[194, 194, 195, 198, 202, 210, 225, 228, 232, 214, 231, 221, 240, 243, 237, 236, 265, 228]",0.0,1795856.8110656738,3993,1795856.8110656738
GOOGL,2021-09-07,2885.610107421875,2022-06-02,2345.830078125,98110.74365234375,34,-18352.52099609375,[],[],[],[],[],[],0.0,0.0,0,0
COP,2021-09-03,56.2400016784668,2022-06-02,114.9800033569336,99994.72298431396,1778,104439.72298431396,[],[],[],[],[],[],0.0,0.0,0,0
MDT,2021-09-07,134.57000732421875,2022-06-02,98.4800033569336,99985.51544189453,743,-26814.87294769287,"['2022-01-28', '2022-02-03', '2022-02-04', '2022-02-07', '2022-02-14', '2022-02-17', '2022-02-18', '2022-02-23', '2022-02-24', '2022-03-01']","[103.12999725341795, 102.16999816894533, 102.7300033569336, 101.98999786376952, 102.30999755859376, 101.6999969482422, 100.58000183105467, 103.02999877929688, 103.33000183105467, 103.66000366210938]",[],[],"[99932.967338562, 99922.25820922853, 99956.29326629639, 99950.19790649413, 99956.86761474611, 99971.09700012208, 99976.52182006834, 99939.09881591797, 99920.11177062987, 99928.24353027344]","[969, 978, 973, 980, 977, 983, 994, 970, 967, 964]",0.0,999453.6572723389,9755,999453.6572723389
BMY,2021-09-07,65.19000244140625,2022-06-02,74.8499984741211,99936.27374267578,1533,14808.773918151855,[],[],[],[],[],[],0.0,0.0,0,0
CHTR,2021-09-10,787.1199951171875,2022-06-02,497.8800048828125,99964.23937988281,127,-36733.478759765625,[],[],[],[],[],[],0.0,0.0,0,0
MRK,2021-09-02,77.12000274658203,2022-06-02,89.81500244140625,99947.52355957031,1296,16452.719604492188,[],[],[],[],[],[],0.0,0.0,0,0
LIN,2021-09-07,315.6400146484375,2022-06-02,331.1600036621094,99742.24462890625,316,4904.3165283203125,"['2022-01-26', '2022-02-04', '2022-02-07', '2022-02-08', '2022-02-09', '2022-02-11', '2022-02-14', '2022-02-22', '2022-02-23', '2022-02-24', '2022-03-01', '2022-03-02', '2022-03-03', '2022-03-04', '2022-03-07', '2022-03-08', '2022-03-09', '2022-03-11', '2022-03-14', '2022-04-01', '2022-04-04', '2022-04-05', '2022-04-06', '2022-04-07', '2022-04-08', '2022-04-11', '2022-04-12', '2022-04-13', '2022-04-14', '2022-04-20', '2022-04-21', '2022-04-22', '2022-04-25', '2022-04-26', '2022-04-27', '2022-04-28', '2022-05-04', '2022-05-05', '2022-05-06', '2022-05-09', '2022-05-10', '2022-05-11', '2022-05-12', '2022-05-13', '2022-05-18', '2022-05-19', '2022-05-20', '2022-05-23']","[308.92999267578125, 297.9800109863281, 296.4700012207031, 298.7099914550781, 304.1499938964844, 294.7300109863281, 293.510009765625, 293.5899963378906, 291.0899963378906, 285.25, 282.5599975585937, 290.20001220703125, 287.4100036621094, 281.42999267578125, 270.989990234375, 271.44000244140625, 292.7699890136719, 280.760009765625, 285.3599853515625, 322.7300109863281, 321.44000244140625, 321.7699890136719, 315.04998779296875, 318.04998779296875, 317.82000732421875, 317.1499938964844, 314.0, 319.25, 318.5199890136719, 326.3699951171875, 324.3699951171875, 309.7200012207031, 313.989990234375, 303.5299987792969, 307.0400085449219, 315.19000244140625, 322.239990234375, 312.6099853515625, 308.6600036621094, 300.2699890136719, 299.3800048828125, 300.45001220703125, 301.3399963378906, 308.7699890136719, 310.07000732421875, 311.7300109863281, 315.17999267578125, 320.4200134277344]",[],[],"[99784.38763427734, 99823.30368041992, 99910.39041137695, 99769.1371459961, 99761.19799804688, 99913.47372436523, 99793.4033203125, 99820.59875488281, 99843.86874389648, 99837.5, 99743.67913818358, 99828.80419921875, 99731.27127075195, 99907.64739990234, 99995.30639648438, 99889.9208984375, 99834.56625366211, 99950.5634765625, 99875.99487304688, 99723.57339477539, 99967.84075927734, 99748.69659423828, 99870.8461303711, 99867.69616699219, 99795.48229980469, 99902.24807739258, 99852.0, 99925.25, 99696.7565612793, 99869.21850585938, 99905.95849609375, 99729.8403930664, 99848.81689453125, 99861.36959838867, 99788.00277709961, 99915.23077392578, 99894.39697265625, 99722.58532714844, 99697.18118286133, 99989.90634155273, 99992.92163085938, 99749.40405273438, 99743.5387878418, 99732.70645141602, 99842.54235839844, 99753.603515625, 99912.05767822266, 99971.04418945312]","[323, 335, 337, 334, 328, 339, 340, 340, 343, 350, 353, 344, 347, 355, 369, 368, 341, 356, 350, 309, 311, 310, 317, 314, 314, 315, 318, 313, 313, 306, 308, 322, 318, 329, 325, 317, 310, 319, 323, 333, 334, 332, 331, 323, 322, 320, 317, 312]",0.0,4792285.731231689,15787,4792285.731231689
CVS,2021-09-02,86.95999908447266,2022-06-02,97.02899932861328,99917.03894805908,1149,11569.281280517578,[],[],[],[],[],[],0.0,0.0,0,0
SHEL,2021-08-11,41.86000061035156,2022-06-02,59.21260070800781,99961.68145751953,2388,41438.009033203125,"['2021-10-29', '2021-11-01', '2021-11-02', '2021-11-03', '2021-11-04', '2021-11-19', '2021-11-22', '2021-11-26', '2021-11-29', '2021-11-30', '2021-12-01', '2021-12-02', '2021-12-03', '2021-12-13', '2021-12-14', '2021-12-15', '2021-12-16', '2021-12-17', '2021-12-20']","[45.91999816894531, 46.15999984741211, 45.400001525878906, 44.790000915527344, 44.869998931884766, 43.209999084472656, 43.130001068115234, 42.06999969482422, 42.45000076293945, 42.040000915527344, 41.59000015258789, 43.869998931884766, 43.58000183105469, 42.83000183105469, 42.68000030517578, 42.83000183105469, 42.86000061035156, 42.11000061035156, 41.93000030517578]",[],[],"[99967.83601379395, 99982.55966949463, 99970.80335998535, 99971.28204345703, 99970.35762023926, 99987.93788146973, 99975.34247589111, 99958.31927490234, 99969.75179672241, 99971.12217712402, 99982.36036682129, 99979.72756576538, 99972.52420043945, 99965.22427368164, 99999.24071502686, 99965.22427368164, 99992.3814239502, 99969.14144897461, 99961.12072753906]","[2177, 2166, 2202, 2232, 2228, 2314, 2318, 2376, 2355, 2378, 2404, 2279, 2294, 2334, 2343, 2334, 2333, 2374, 2384]",0.0,1899512.25730896,43825,1899512.25730896
